Sample	Latitude_N	Longitude_E	Layer	Depth	Temperature	Nitrate 	Nitrite 	Phosphate 	Oxygen 	Chlorophyll_a 	Richness	Evenness	ShannonH	Biome 	Region 	Province 	Expedition
65_DCM	-35.2421	26.3048	DCM	30	21.81495	NaN	NaN	NaN	206.43725	0.272648	399	0.232919214	4.374289238	Coastal	IO	EAFR	Tara
65_SUR	-35.1728	26.2868	SUR	5	21.81684	NaN	NaN	NaN	207.0439	0.215292	339	0.234455166	4.341321174	Coastal	IO	EAFR	Tara
66_DCM	-34.8901	18.0459	DCM	30	15.01895	NaN	0.26	0.37	240.4135	0.424363	216	0.26371173	4.011271031	Coastal	SAO	BENG	Tara
66_SUR	-34.9449	17.9189	SUR	5	15.033492	2.450991	0.3	0.34	238.916333	0.250054	222	0.252149921	3.977141616	Coastal	SAO	BENG	Tara
67_SUR	-32.2401	17.7103	SUR	5	12.83445	0.405607	0.171	1.016	249.351417	1.551493	197	0.268451877	3.912633656	Coastal	SAO	BENG	Tara
68_DCM	-31.027	4.6802	DCM	50	16.787411	NaN	0.285	0.227	231.683361	0.42458	194	0.224857959	3.886504828	Trades	SAO	SATL	Tara
68_MES	-31.0198	4.6685	MES	700	7.026748	25.846888	0.003	1.529	195.168847	0.011208	113	0.32770811	3.7907032	Trades	SAO	SATL	Tara
68_SUR	-31.0266	4.665	SUR	5	16.832058	NaN	0.25	0.229	231.914833	0.201517	195	0.240806445	3.854369646	Trades	SAO	SATL	Tara
70_MES	-20.4075	-3.1641	MES	800	4.216697	37.7793	0.01	2.522	161.730633	0.003811	55	0.302684026	2.915582817	Trades	SAO	SATL	Tara
70_SUR	-20.4091	-3.1759	SUR	5	19.776808	0.168013	0.054	0.364	215.650833	0.324315	244	0.247279412	4.156205308	Trades	SAO	SATL	Tara
72_DCM	-8.7296	-17.9604	DCM	100	24.112672	0.241265	0.011	0.143	194.428431	0.263939	253	0.214663992	3.950068291	Trades	SAO	SATL	Tara
72_MES	-8.7986	-17.9034	MES	800	4.673875	38.448475	0.007	2.618	143.1955	0	305	0.24167523	4.003877317	Trades	SAO	SATL	Tara
72_SUR	-8.7789	-17.9099	SUR	5	25.02619	0.263475	0.003	0.104	199.1195	0.050608	218	0.265411951	3.994537336	Trades	SAO	SATL	Tara
76_DCM	-21.0292	-35.3498	DCM	150	21.643283	0.580918	0.015	0.038	203.814833	0.150865	310	0.226351372	4.281975754	Trades	SAO	SATL	Tara
76_MES	-20.9315	-35.1794	MES	800	4.749588	34.589515	0.001	0.937	192.1655	0	75	0.301538766	3.133083865	Trades	SAO	SATL	Tara
76_SUR	-20.9354	-35.1803	SUR	5	23.349542	0.030608	0.001	0.056	206.194333	0.033622	203	0.285190289	3.967142892	Trades	SAO	SATL	Tara
78_DCM	-30.1484	-43.2705	DCM	120	19.30925	0.478929	0.053	0	217.140667	0.226052	266	0.241933066	4.094658401	Trades	SAO	SATL	Tara
78_MES	-30.1471	-43.2915	MES	800	5.8659	29.783185	0	1.946	214.842	0	110	0.312746141	3.477228095	Trades	SAO	SATL	Tara
78_SUR	-30.1367	-43.2899	SUR	5	19.854083	-0.385346	0	0	221.47475	0.053173	223	0.263256203	3.962379347	Trades	SAO	SATL	Tara
82_DCM	-47.2007	-57.9446	DCM	40	6.975635	17.111823	0.135	1.416	306.211529	1.01772	93	0.198510467	2.349375818	Coastal	SAO	FKLD	Tara
82_SUR	-47.1863	-58.2902	SUR	5	7.321517	17.091069	0.151	1.301	305.012167	0.310844	101	0.175053056	1.176831883	Coastal	SAO	FKLD	Tara
84_SUR	-60.2287	-60.6476	SUR	5	1.84402	24.423039	0.266	1.723	338.2982	0.109555	64	0.195040897	1.877642214	Polar	SO	ANTA	Tara
85_DCM	-62.2231	-49.2139	DCM	90	-0.78154	33.109231	0.06	2.309	325.402987	0.540091	84	0.207724521	3.328869566	Polar	SO	ANTA	Tara
85_MES	-61.9689	-49.5017	MES	790	0.45883	38.821249	0.018	2.614	203.8394	0.010087	86	0.301165135	3.044116112	Polar	SO	ANTA	Tara
85_SUR	-62.0385	-49.529	SUR	5	0.67108	27.501159	0.107	2.111	343.4373	0.065273	74	0.24225889	3.084396594	Polar	SO	ANTA	Tara
100_DCM	-12.9723	-96.0122	DCM	50	20.649431	1.501977	0.16	0.78	216.790338	0.366887	246	0.225846689	4.060276165	Trades	SPO	SPSG	Tara
100_dDCM	-12.9794	-96.0232	DCM	177	13.014573	21.068385	0.03	2.68	0.70843	0.121464	154	0.292041726	3.667461495	Trades	SPO	SPSG	Tara
100_SUR	-13.0023	-95.9759	SUR	5	25.2512	4.590737	0.14	0.68	200.233917	0.287892	167	0.170318153	3.55285067	Trades	SPO	SPSG	Tara
102_DCM	-5.2669	-85.2732	DCM	40	19.566255	20.328327	1.2	1.86	103.916711	0.728939	248	0.237438554	4.146083553	Trades	SPO	PEOD	Tara
102_MES	-5.261	-85.1678	MES	480	9.195825	40.008967	0.01	2.85	4.42525	0.010087	239	0.212495465	3.838521998	Trades	SPO	PEOD	Tara
102_SUR	-5.2529	-85.1545	SUR	5	24.943108	11.688971	0.32	1	205.992583	0.238224	222	0.186065695	3.8306286	Trades	SPO	PEOD	Tara
109_DCM	2.0299	-84.5546	DCM	30	26.532035	3.886605	0.11	0.5	203.127654	0.737378	247	0.184489704	3.929714926	Coastal	NPO	CHIL	Tara
109_SUR	1.9928	-84.5766	SUR	5	27.617558	1.210114	0.04	0.27	198.635833	0.28167	265	0.237219085	3.933767609	Coastal	NPO	CHIL	Tara
111_DCM	-16.9587	-100.6751	DCM	90	19.881449	1.411516	0.2	0.44	211.54555	0.378549	255	0.213966387	4.076217757	Trades	SPO	SPSG	Tara
111_MES	-16.9486	-100.6715	MES	350	10.893125	30.409013	0.01	2.73	3.171063	0	106	0.3298787	3.142134599	Trades	SPO	SPSG	Tara
111_SUR	-16.9601	-100.6335	SUR	5	22.76873	2.568726	0.04	0.5	208.8654	0.203347	216	0.203590421	3.902794179	Trades	SPO	SPSG	Tara
122_DCM	-9.0063	-139.1394	DCM	115	24.69625	2.333576	0.1	0.59	179.916875	0.295808	304	0.20813536	4.341097525	Trades	SPO	SPSG	Tara
122_MES	-8.9729	-139.2393	MES	600	7.212238	42.53205	0.02	2.43	38.115125	0	187	0.352049896	3.661462462	Trades	SPO	SPSG	Tara
122_SUR	-8.9971	-139.1963	SUR	5	26.54413	3.986359	0.12	0.57	186.2407	0.166512	234	0.214156621	3.906482609	Trades	SPO	SPSG	Tara
123_MIX	-8.9109	-140.2845	MIX	150	NaN	NaN	NaN	NaN	NaN	NaN	362	0.201522577	4.415720334	Trades	SPO	SPSG	Tara
123_SUR	-8.9068	-140.283	SUR	5	26.576175	3.868407	0.14	0.53	189.758333	0.319103	263	0.197783525	3.949079838	Trades	SPO	SPSG	Tara
124_MIX	-9.0714	-140.5973	MIX	120	NaN	NaN	NaN	NaN	NaN	NaN	363	0.219029061	4.48150702	Trades	SPO	SPSG	Tara
124_SUR	-9.1504	-140.5216	SUR	5	26.518986	5.111856	0.16	0.63	190.724	0.286662	291	0.188077338	4.138488647	Trades	SPO	SPSG	Tara
125_MIX	-8.8999	-142.5461	MIX	140	NaN	NaN	NaN	NaN	NaN	NaN	371	0.169213439	4.424830334	Trades	SPO	SPSG	Tara
125_SUR	-8.9111	-142.5571	SUR	5	26.780158	4.985942	0.19	0.56	187.302833	0.233673	244	0.165023872	4.088022625	Trades	SPO	SPSG	Tara
MSP114	14.53	-118.77	MES	294	34.69						29	0.243501559	2.306128413	*	NPO	*	Malaspina
137_DCM	14.2075	-116.6468	DCM	40	18.594842	11.003135	0.31	0.88	95.411833	0.62525	187	0.266464305	3.643539193	Trades	NPO	PNEC	Tara
137_MES	14.2025	-116.6433	MES	375	8.911481	35.716708	0.01	2.95	0.628413	0.001625	106	0.267777339	2.341628425	Trades	NPO	PNEC	Tara
137_SUR	14.2035	-116.6261	SUR	5	26.4091	3.241307	0.07	0.46	195.126917	0.290611	207	0.226017692	3.846551587	Trades	NPO	PNEC	Tara
138_DCM	6.3378	-102.9538	DCM	60	19.048358	22.087762	0.83	1.11	77.038525	0.334076	211	0.295129274	3.884436019	Trades	NPO	PNEC	Tara
138_MES	6.3559	-103.0598	MES	450	8.210557	36.886053	0.01	3.16	0.78015	0.002017	116	0.260975057	3.086350391	Trades	NPO	PNEC	Tara
138_SUR	6.3332	-102.9432	SUR	5	26.6362	-1.184318	0	0.16	196.88275	0.013449	188	0.196709272	3.880692128	Trades	NPO	PNEC	Tara
